Filename;NasNet-L TOP5?;NasNet-L TOP1?;DenseNet 201 TOP5?;DenseNet 201 TOP1?;EfficientNetB7 TOP5?;EfficientNetB7 TOP1?;Classification Correct;Votes for easy to classify
ZubodrV3.png;1;1;1;1;1;1;6;5
a1Zj8R9J.png;1;1;1;1;1;1;6;2
aI3134Gxqs.png;0;0;1;0;0;0;1;0
aNnbkReO.png;0;0;0;0;0;0;0;0
aq7UpMwwxj.png;0;0;0;0;0;0;0;0
cSCqquLSO7.png;1;1;0;0;1;0;3;1
cWgtknxT.png;0;0;0;0;1;0;1;0
dYALjrEi.png;0;0;1;0;0;0;1;3
e6F1B4Nu.png;1;0;1;1;1;0;4;4
eD80tfb0.png;0;0;0;0;1;0;1;0
eZOixM83.png;1;1;1;1;1;1;6;0
emEWx4JF.png;0;0;0;0;0;0;0;2
f1B2hShN.png;1;1;1;1;1;1;6;0
f59DwMeQ.png;1;1;1;1;1;1;6;0
fDVGdljM.png;1;1;0;0;1;0;3;0
fHkWwhPL.png;0;0;1;0;0;0;1;0
g31rhVzQ.png;1;1;1;1;1;1;6;0
gx8Ivlr7.png;1;0;0;0;0;0;1;0
hZFzX6tN.png;1;0;0;0;1;1;3;4
iB4bryDl.png;0;0;1;0;0;0;1;0
iR11xmm6.png;1;1;1;1;1;0;5;2
imyyw77u.png;1;0;0;0;1;1;3;0
isiXY0j2.png;1;0;1;0;1;0;3;4
j1xXEzjl.png;0;0;0;0;0;0;0;2
j7Xr6qTR.png;0;0;0;0;0;0;0;0
jNBwbjpf.png;0;0;0;0;0;0;0;1
jWHwn57h.png;0;0;0;0;0;0;0;0
jWmtaMHD.png;0;0;0;0;0;0;0;0
jYXigTxy.png;1;1;1;1;1;1;6;0
jb2OPpkq.png;0;0;0;0;0;0;0;0
jfvtHMHq.png;0;0;0;0;0;0;0;0
jhoN0GAh.png;1;0;0;0;0;0;1;2
kPVkAyrY.png;0;0;0;0;0;0;0;0
kqFfRw0s.png;0;0;0;0;0;0;0;0
kyQ2yLJO.png;0;0;0;0;0;0;0;1
lDGCNIdULi.png;1;1;1;1;1;1;6;3
lbJ9bk0k.png;0;0;0;0;0;0;0;0
myOVtxk2.png;0;0;0;0;0;0;0;0
nI8qfDOzfs.png;1;1;1;1;1;1;6;0
nW0D1IyP.png;1;1;1;1;1;1;6;3
nv0a6iSz.png;0;0;0;0;0;0;0;0
nvlANjdbd6.png;0;0;0;0;0;0;0;0
nwsa6vQR.png;0;0;1;0;1;0;2;4
oMQIIlkmQs.png;1;1;1;1;1;0;5;0
oMvb4N1U.png;0;0;0;0;1;1;2;2
oSFm1qls.png;0;0;1;0;1;0;2;0
p1YUESDg.png;0;0;0;0;0;0;0;0
p5UHDR4B.png;0;0;0;0;0;0;0;1
p5atvZRX.png;1;1;1;0;0;0;3;3
p7AcQyu4.png;0;0;0;0;0;0;0;0
phLN04FA.png;0;0;0;0;0;0;0;0
png94Aoo.png;1;1;1;0;1;1;5;0
pqpowjWytV.png;0;0;0;0;0;0;0;1
r8va3t5s.png;1;1;0;0;0;0;2;0
rTZ2kCFZ.png;1;1;1;1;1;1;6;0
rsfnjiLK.png;0;0;0;0;0;0;0;5
sIRg3bxV.png;1;1;1;1;1;1;6;0
sfk3xiQF.png;0;0;0;0;0;0;0;0
st8rpLhL.png;0;0;0;0;0;0;0;0
syEnsfOi.png;0;0;0;0;0;0;0;1
t4bWTXvcYK.png;0;0;0;0;0;0;0;0
tOdxgRa3.png;0;0;0;0;0;0;0;2
trqsuJYz.png;0;0;0;0;0;0;0;0
u7ncOHkN.png;1;0;1;1;1;0;4;0
uWqIuxIe.png;1;0;1;0;1;0;3;1
ujrogeR3.png;0;0;0;0;0;0;0;0
ukDHdzTk.png;0;0;0;0;0;0;0;0
uul3ykO7.png;1;1;1;1;1;1;6;0
